Database,Schema,Table,Matched,File
dw_dxc_dev,bwyllie,smilebrands_claim_status_report__dbt_tmp,rendering_provider_npi,DTT-ANA-PRD/dw_dxc_dev.sql
rpt,dbo,SSISGrandfatheredReportsMap,PackageVariable_fileNameOrtho,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISGrandfatheredReportsMap,PackageVariable_fileNameNonOrtho,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISGrandfatheredReportsMap,PackageVariable_fileNameOrthoOsa,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportColumn,Distinct,DTT-ANA-PRD/rpt.sql
partcredDM,dbo,Credential,ProviderID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,DSSCredBillingAlt,ProviderDirectoryPayerID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,DSSCredBillingAlt,ProviderDirectoryID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,DSSCredBillingAlt,ProviderName,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,Outreach,ProviderID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,PayerPartnerOutreach,ProviderDirectoryPayerID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,PayerPartnerOutreach,ProviderDirectoryID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,PayerPartnerOutreach,OutreachCycleStartDateProviderDirectoryPayerStatusID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,PayerPartnerOutreach,OutreachEndDateProviderDirectoryPayerStatusID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,PayerPartnerOutreach,OutreachEndDateProviderDirectoryPayerStatusCategory,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreach,ProviderDirectoryPayerID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreach,ProviderDirectoryID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreach,ProviderName,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreachSummary,ProviderDirectoryID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreachSummary,ProviderDirectoryPayerID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RecredentialingCycleOutreachSummary,LastProviderUpdatedDate,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RenewDates,ProviderDirectoryPayerID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RenewDates,ProviderDirectoryID,DTT-ANA-PRD/partcredDM.sql
partcredDM,dbo,RenewDates,DecisionProviderDirectoryPayerHistoryID,DTT-ANA-PRD/partcredDM.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,MemberNo,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,BillingProvNPI,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,RenderingProvNPI,DTT-ANA-PRD/dw_atm_dxc.sql
dw_atm_dxc,dbo,chs_MetaClaim_Since2023,DestinationUpgradeReasonID,DTT-ANA-PRD/dw_atm_dxc.sql
